iter	RMSE
154	1052096.779
155	1047033.137
156	1043987.231
157	1040859.127
158	1037607.978
159	1035257.273
160	1032658.929
161	1028888.845
162	1027074.665
163	1024087.567
164	1022338.767
165	1018734.569
166	1015663.33
167	1013388.626
168	1011523.655
169	1009411.373
170	1007839.746
171	1005242.959
172	1003748.1
173	1002591.293
174	1000011.545
175	998646.5494
176	996957.5565
177	995170.6182
178	990395.0174
179	988748.508
180	986073.8791
181	984473.9537
182	982731.0739
183	980960.2158
184	978393.4046
185	976189.4379
186	973771.5876
187	971531.2503
188	970332.5896
189	967747.0792
190	966803.4587
191	964628.2826
192	963161.3809
193	962089.9417
194	960012.9068
195	958105.2796
196	956079.1076
197	954458.3788
198	953033.7863
199	952650.582
200	951660.3443
201	950653.2759
202	949014.6816
203	946258.6385
204	944112.0765
205	942680.9299
206	940457.1484
207	938326.3046
208	935791.1522
209	935297.5012
210	934219.5582
211	932355.8547
212	929251.0352
213	927759.9066
214	926347.3337
215	924409.8219
216	921816.8844
217	920357.3553
218	917483.2369
219	916618.3406
220	914291.18
221	912735.2483
222	910558.0347
223	908449.3389
224	907934.0745
225	907015.2699
226	904240.4503
227	902688.5794
228	898965.0823
229	896916.204
230	895872.0785
231	893203.2437
232	891823.933
233	889865.0806
234	887515.3568
235	887227.6353
236	885591.6664
237	884302.6427
238	881365.0763
239	879179.9102
240	877432.51
241	876636.8235
242	874780.4501
243	873186.1992
244	870656.2927
245	868874.2298
246	868234.6737
247	866994.7341
248	865386.0858
249	863559.2617
250	862245.2292
251	860887.8748
252	859293.4759
253	857355.1868
254	855706.4942
255	854936.7138
256	853100.9623
257	851925.8529
258	849696.1957
259	847428.9141
260	845882.5403
261	843453.174
262	842244.8233
263	840478.0483
264	837587.4897
265	835515.9573
266	834223.8861
267	831055.1171
268	829088.195
269	828319.2617
270	826332.3382
271	824434.9097
272	823207.9852
273	821776.0318
274	819271.7036
275	817541.3105
276	815349.1722
277	811961.3517
278	808982.1547
279	807489.717
280	804209.0314
281	801913.289
282	799537.2006
283	797785.6586
284	794547.8339
285	790917.9053
286	789003.3358
287	785882.4988
288	784323.8948
289	781331.3929
290	780412.9367
291	779152.6569
292	777930.783
293	776259.3968
294	774457.0985
295	773390.5598
296	771067.0128
297	770333.7173
298	768198.375
299	766326.1154
300	765117.4699
301	763901.9721
302	763133.6735
303	761192.0461
304	759677.5751
305	757586.5698
306	756158.8162
307	754961.3599
308	754117.8038
309	751468.7362
310	748938.9319
311	748005.2516
312	746195.7023
313	744535.7999
314	743026.2329
315	740405.9951
316	739331.3148
317	738503.0855
318	737752.4938
319	736990.5723
320	735693.8464
321	734670.1714
322	732637.1028
323	729934.331
324	727075.9389
325	726398.5564
326	724641.8853
327	723212.8451
328	720911.0646
329	719504.1056
330	717399.7016
331	716473.3565
332	715119.9053
333	713716.7431
334	712496.4914
335	711167.8656
336	709417.6202
337	707559.3158
338	706779.1098
339	705458.3649
340	704435.6798
341	703001.8064
342	701630.6014
343	700246.681
344	699004.882
345	697316.8859
346	695074.1334
347	693749.6252
348	692737.024
349	691743.4866
350	690352.8661
351	688477.4679
352	687754.3181
353	686685.4668
354	685420.4125
355	683244.1595
356	682216.8486
357	681229.466
358	680083.147
359	679197.4155
360	678636.6419
361	677482.0818
362	675849.0575
363	674496.854
364	674320.6526
365	673206.0594
366	672180.4333
367	671558.2873
368	670756.8564
369	669866.2622
370	668002.3345
371	665937.9852
372	665411.8834
373	664161.6284
374	663646.6578
375	662377.0947
376	661449.1926
377	660289.588
378	659138.546
379	658457.3663
380	657514.3388
381	656766.5679
382	655138.847
383	654226.1545
384	653194.25
385	652663.6164
386	651857.7584
387	650743.6594
388	649928.5535
389	648729.9708
390	647923.8266
391	646723.3693
392	646204.0297
393	645336.0535
394	644127.8664
395	643072.3374
396	641766.47
397	640193.8823
398	639949.7081
399	639326.901
400	638891.3927
401	638261.1568
402	637511.4948
403	636961.3697
404	636322.2817
405	635432.8575
406	635039.241
407	633806.8799
408	633324.4339
409	632354.3248
410	630832.9014
411	630392.1274
412	628652.0359
413	627831.9036
414	627181.3292
415	626221.2523
416	625290.4524
417	624744.1369
418	623154.6925
419	621963.238
420	621056.2555
421	620061.319
422	619664.2764
423	619045.9618
424	617931.6791
425	617492.3318
426	616562.4323
427	616096.3458
428	615686.9849
429	614240.9686
430	613202.1835
431	612312.9746
432	611355.138
433	610159.6751
434	609302.7918
435	608421.5024
436	607508.3693
437	606671.6671
438	605326.786
439	604599.2356
440	603926.327
441	602870.0883
442	601478.8953
443	600361.5145
444	599813.2931
445	598863.6722
446	598008.5918
447	596265.3788
448	595332.1804
449	593951.2555
450	593303.9932
451	592267.393
452	591413.5558
453	590494.7119
454	590043.2155
455	588926.9547
456	587774.1387
457	586374.6613
458	585360.963
459	583979.1534
460	583275.0354
461	581631.1557
462	580368.2286
463	579873.055
464	579448.343
465	578077.7626
466	577188.3562
467	576732.5403
468	576297.1248
469	575425.5729
470	575160.2039
471	574335.1283
472	573334.7146
473	572407.0178
474	572010.1857
475	571420.053
476	570662.8808
477	569949.5657
478	569029.5022
479	568284.734
480	567734.8417
481	566398.5229
482	565907.2942
483	565413.626
484	564366.7297
485	563958.6705
486	562817.5122
487	562467.8735
488	561829.0826
489	561021.0392
490	560435.6031
491	559524.0734
492	559261.3588
493	559071.0669
494	558864.9142
495	558051.0045
496	556641.4697
497	555978.2201
498	555127.8845
499	555041.3235
500	554332.8569
501	553669.372
502	553100.5139
503	552233.7914
504	551018.6248
505	549903.0241
506	549268.4777
507	547748.3432
508	547125.5773
509	546722.848
510	546066.7902
511	545742.8653
512	544779.4403
513	544294.7757
514	543112.9568
515	541916.2641
516	541486.8282
517	541009.6306
518	540414.2869
519	539933.6735
520	539089.4404
521	538758.1069
522	537711.1522
523	537371.2311
524	536651.2192
525	535952.2724
526	535594.3827
527	534562.5589
528	533602.62
529	532508.821
530	531761.2568
531	530924.8163
532	530634.6775
533	529800.4451
534	529256.1994
535	528776.0825
536	528300.7494
537	527809.4609
538	526680.1095
539	525408.2341
540	524941.9664
541	524439.1914
542	524053.208
543	523063.6173
544	522553.378
545	521992.9461
546	521410.3769
547	520360.2672
548	519223.1698
549	518729.9835
550	517649.641
551	517044.3412
552	516493.4055
553	516193.8119
554	515881.2937
555	515165.9597
556	514301.7214
557	513791.2725
558	513339.4908
559	512937.2284
560	512014.8917
561	511416.6207
562	511047.8455
563	510375.7774
564	509808.1592
565	509215.1132
566	508766.1475
567	508396.09
568	507580.3492
569	507119.0029
570	506863.6454
571	506167.4267
572	505762.2246
573	505095.9639
574	504462.3592
575	503826.7307
576	502903.8383
577	502184.9622
578	501448.2228
579	500720.8237
580	500449.1705
581	499298.5367
582	498356.9496
583	498091.3797
584	497679.9802
585	497124.1364
586	496343.6627
587	495760.6007
588	494918.8926
589	494202.8606
590	493307.9764
591	493061.7566
592	492130.4955
593	491572.7352
594	490737.5314
595	490262.3133
596	489911.6069
597	489512.1951
598	488399.0605
599	487989.1546
600	487811.3539
601	487213.5877
602	487148.9391
603	486428.1089
604	486168.6907
605	485864.0669
606	485434.7925
607	484915.6529
608	484304.7728
609	483428.7115
610	482777.699
611	482242.8421
612	481751.9062
613	481198.498
614	480640.4601
615	480260.7861
616	479226.6028
617	478937.5455
618	478807.6622
619	478625.617
620	477615.971
621	476777.2068
622	476284.2165
623	475783.774
624	475134.1757
625	474762.5038
626	474416.7962
627	473791.9392
628	473191.5669
629	472975.1954
630	471848.0426
631	471292.8091
632	470384.4791
633	470207.2797
634	470105.5579
635	469820.7748
636	469252.8021
637	468894.8415
638	468639.7249
639	467890.4492
640	467002.0845
641	466271.3419
642	465820.6414
643	465038.8361
644	464536.9412
645	463968.3945
646	463548.0275
647	463179.1496
648	462587.5049
649	461955.6969
650	461596.9231
651	461096.371
652	460234.9554
653	459942.3903
654	459562.2155
655	459011.0641
656	458741.0019
657	457846.5233
658	457610.4089
659	456994.594
660	456609.6252
661	456259.6701
662	455158.5876
663	454868.9109
664	454322.5003
665	453468.36
666	452938.5555
667	452828.9918
668	452307.5314
669	452002.392
670	451606.757
671	450877.786
672	450120.5488
673	449761.655
674	449096.8145
675	448733.4423
676	448236.3197
677	447310.4969
678	447005.567
679	446664.5412
680	446404.6914
681	445732.0876
682	445227.6848
683	444440.8506
684	444058.8158
685	443442.3103
686	443239.5306
687	442825.0321
688	442355.0608
689	441746.9108
690	441146.5521
691	440842.0915
692	440164.1824
693	439721.5018
694	439299.4768
695	438850.9139
696	438088.168
697	437531.4539
698	436929.5799
699	436432.1919
700	436017.0218
701	435389.8592
702	434915.4581
703	434410.0537
704	434226.6922
705	433250.299
706	432570.8618
707	431990.6992
708	431389.8041
709	431242.7659
710	430952.0396
711	430465.168
712	429859.7522
713	428889.2726
714	427924.154
715	427761.0186
716	427276.6838
717	426965.1201
718	426157.2767
719	425579.9053
720	425098.9646
721	424594.445
722	423848.6917
723	423686.3725
724	423393.3072
725	422788.5428
726	422296.7356
727	422039.3768
728	421436.6854
729	420994.6063
730	420342.0589
731	419886.7587
732	419517.1885
733	419116.8429
734	418877.1593
735	418828.8575
736	417982.2603
737	417260.6804
738	416615.1887
739	416303.3047
740	416037.6023
741	415522.4875
742	414730.107
743	414545.3741
744	414285.955
745	414051.3306
746	413971.5061
747	413583.7967
748	413366.6993
749	413043.5664
750	412317.3903
751	412267.1195
752	411753.481
753	411179.6834
754	410692.3171
755	409898.9766
756	409480.2366
757	409255.3132
758	408650.1205
759	408387.6019
760	407733.4528
761	407015.9707
762	406648.4162
763	406447.8041
764	405817.1489
765	405647.2832
766	405452.0604
767	404935.71
768	404480.8627
769	404328.9771
770	404005.1519
771	403495.0502
772	403245.1985
773	402771.0163
774	402605.0401
775	402435.821
776	402163.2216
777	401794.2386
778	401654.7387
779	401486.9671
780	400804.099
781	400535.2495
782	400015.4587
783	399297.9415
784	398936.3444
785	398486.5682
786	398075.7295
787	397689.2904
788	397022.3138
789	396473.3158
790	395756.4255
791	395572.1655
792	395464.885
793	395372.9523
794	395053.3438
795	394441.0181
796	394102.4856
797	393384.7473
798	392847.2682
799	392369.6425
800	392072.0925
801	391487.5205
802	391268.28
803	390967.6269
804	390660.6917
805	390167.9254
806	389928.6259
807	389528.5243
808	389368.622
809	388959.7246
810	388683.1193
811	388233.7275
812	387414.6897
813	386933.4692
814	386880.6988
815	386693.6897
816	386386.2226
817	385988.1804
818	385481.872
819	384819.062
820	384332.1683
821	384071.5133
822	383872.0959
823	383334.7836
824	383159.5788
825	382635.3613
826	382330.3591
827	382103.7137
828	381858.7043
829	381373.7467
830	380613.0482
831	380092.8975
832	379824.9848
833	379759.0147
834	379477.0679
835	379424.9535
836	379027.1493
837	378856.4281
838	378457.0318
839	378151.0578
840	377789.8529
841	377704.9382
842	377192.116
843	377000.4081
844	376685.5266
845	376566.8834
846	376128.3911
847	375773.7863
848	375214.2955
849	374693.4139
850	374458.5645
851	374227.2999
852	374176.8175
853	373825.1496
854	373492.8865
855	373305.1105
856	372813.941
857	372364.9093
858	372136.2438
859	371807.3673
860	371791.3981
861	371413.7237
862	371291.8271
863	370636.1785
864	369897.4846
865	369438.887
866	369325.4369
867	369180.8248
868	368614.8884
869	368201.7085
870	367778.7278
871	367554.6132
872	367008.8239
873	366868.2565
874	366655.6581
875	366459.9537
876	366059.1931
877	365927.6295
878	365514.8945
879	365105.3487
880	364753.4472
881	364466.0993
882	364218.8486
883	363792.1396
884	363624.0831
885	363314.4741
886	362754.1735
887	362136.8275
888	361409.0951
889	360858.843
890	360434.4163
891	360411.5272
892	360285.8111
893	359700.331
894	359275.6475
895	358883.8237
896	358420.3807
897	357579.0127
898	357341.6226
899	357109.6458
900	356806.8498
901	356316.3792
902	355678.3543
903	355244.816
904	355024.9412
905	354819.5428
906	354512.303
907	353635.7601
908	353432.61
909	353041.9548
910	352726.1633
911	352644.6089
912	352466.739
913	352127.7191
914	351995.0121
915	351906.301
916	351551.1756
917	350770.3857
918	350135.9862
919	349763.9513
920	349610.6858
921	349223.849
922	348997.9983
923	348769.8093
924	348519.3672
925	348440.5831
926	347945.6917
927	347927.501
928	347229.4656
929	347001.1374
930	346672.1051
931	346337.0342
932	345770.0532
933	345758.5724
934	345730.9245
935	345725.6358
936	345424.8712
937	345283.6416
938	344899.4756
939	344675.5957
940	344450.9389
941	344099.084
942	344088.1642
943	343758.2041
944	343634.3977
945	343212.7812
946	342877.7463
947	342723.6219
948	342512.1482
949	342377.6011
950	341952.7806
951	341664.5519
952	341383.125
953	341182.7973
954	340633.564
955	340356.1868
956	340150.1326
957	340109.8997
958	340047.8402
959	339674.5024
960	339280.0494
961	339080.3296
962	339061.256
963	338822.6732
964	338410.3433
965	338407.3813
966	338326.758
967	338231.6454
968	338077.5817
969	337620.6099
970	336930.4146
971	336915.6022
972	336382.3208
973	336348.9152
974	336048.2557
975	335819.3146
976	335515.8724
977	335453.5486
978	335040.6965
979	334637.3844
980	334306.6295
981	334087.5913
982	333961.9997
983	333779.5837
984	333266.8521
985	332921.2054
986	332189.2236
987	331582.4803
988	331424.8364
989	331082.6336
990	330808.6661
991	330510.7326
992	329945.5529
993	329738.4304
994	329267.9793
995	328660.8379
996	328507.861
997	328301.6683
998	327858.1055
999	327435.998
